time,open,high,low,close,volume,quoat_asset_volume,n_trades,taker_base_vol,taker_quote_vol
2020-10-11 04:34:59.999,11343.18,11353.01,11342.23,11351.93,69.216385,785507.7,1354,30.015026,340617.2
2020-10-11 04:39:59.999,11351.92,11353.23,11349.64,11349.64,49.786602,565179.5,1169,22.23918,252453.4
2020-10-11 04:44:59.999,11349.64,11358.0,11349.64,11357.99,52.119247,591758.06,1887,29.260206,332218.12
2020-10-11 04:49:59.999,11358.0,11363.1,11351.96,11353.52,100.33283,1139728.1,1879,48.22279,547820.06
2020-10-11 04:54:59.999,11353.52,11356.99,11350.62,11354.29,83.83989,951847.25,1623,39.788902,451730.34
2020-10-11 04:59:59.999,11354.28,11355.28,11350.0,11350.01,56.21506,638223.94,1247,23.856285,270856.78
2020-10-11 05:04:59.999,11350.01,11355.27,11349.64,11353.21,125.97885,1430133.2,1695,68.17921,773963.8
2020-10-11 05:09:59.999,11353.32,11354.51,11344.78,11347.97,147.20412,1670624.4,1804,92.39929,1048653.8
2020-10-11 05:14:59.999,11347.96,11348.17,11338.0,11338.0,76.85703,871762.75,1169,35.964558,407927.97
2020-10-11 05:19:59.999,11338.01,11353.26,11337.89,11353.25,87.90217,997313.0,1425,44.9997,510510.2
2020-10-11 05:24:59.999,11353.25,11360.0,11346.87,11348.03,83.2576,945338.94,1782,29.35115,333262.66
2020-10-11 05:29:59.999,11348.03,11355.36,11346.28,11352.16,78.490074,890813.06,1738,38.498924,436927.2
2020-10-11 05:34:59.999,11352.17,11362.0,11349.57,11361.86,99.069824,1124931.8,2083,50.41102,572448.3
2020-10-11 05:39:59.999,11361.85,11367.75,11353.72,11354.93,111.53586,1267388.2,2292,75.23611,854940.25
2020-10-11 05:44:59.999,11354.94,11362.42,11351.0,11356.31,117.12841,1330012.8,1595,66.237335,752182.4
2020-10-11 05:49:59.999,11356.31,11364.51,11354.83,11357.51,64.55067,733206.6,1600,30.005484,340822.84
2020-10-11 05:54:59.999,11357.74,11357.74,11345.01,11345.99,93.27477,1058608.8,1664,46.380726,526379.7
2020-10-11 05:59:59.999,11345.99,11352.0,11344.7,11346.1,51.79964,587815.6,1087,32.82186,372467.3
2020-10-11 06:04:59.999,11346.1,11349.97,11337.6,11338.2,139.39029,1580958.9,2248,49.234478,558424.7
2020-10-11 06:09:59.999,11338.19,11339.5,11327.05,11338.6,130.34898,1477327.2,2250,56.83928,644233.56
2020-10-11 06:14:59.999,11338.74,11340.27,11333.83,11339.54,74.366806,843096.94,1294,41.409546,469486.12
2020-10-11 06:19:59.999,11339.53,11345.87,11339.53,11345.08,60.481647,685977.4,1409,35.468166,402275.28
2020-10-11 06:24:59.999,11345.08,11352.28,11344.01,11351.39,50.97989,578534.4,834,31.812946,361032.53
2020-10-11 06:29:59.999,11351.39,11352.8,11340.93,11351.3,76.41774,867212.9,1267,42.065178,477388.75
2020-10-11 06:34:59.999,11351.8,11355.92,11349.94,11352.78,101.94123,1157456.5,1352,50.933926,578324.06
2020-10-11 06:39:59.999,11352.77,11352.77,11350.0,11350.12,50.948082,578312.8,1054,18.764097,212991.33
2020-10-11 06:44:59.999,11350.13,11352.11,11346.55,11346.56,108.566696,1232161.0,1361,59.462223,674865.94
2020-10-11 06:49:59.999,11346.55,11347.3,11341.05,11342.18,78.99911,896160.1,1458,29.748579,337477.03
2020-10-11 06:54:59.999,11342.19,11348.34,11340.9,11347.31,83.2506,944419.0,1064,47.40488,537757.4
2020-10-11 06:59:59.999,11347.3,11354.42,11347.3,11354.05,70.38888,799096.6,1129,32.656425,370724.47
2020-10-11 07:04:59.999,11354.05,11361.24,11347.13,11347.13,179.01656,2032640.2,2438,81.60688,926515.3
2020-10-11 07:09:59.999,11347.13,11351.0,11344.64,11346.17,146.8804,1666825.0,1738,82.995766,941878.06
2020-10-11 07:14:59.999,11346.85,11348.95,11340.19,11342.2,82.806114,939367.9,1240,44.157677,500897.84
2020-10-11 07:19:59.999,11342.2,11356.69,11341.81,11356.68,101.06971,1147139.0,1326,41.41038,470011.53
2020-10-11 07:24:59.999,11356.68,11360.46,11354.64,11357.24,79.16712,899248.4,1369,46.64921,529887.9
2020-10-11 07:29:59.999,11358.62,11362.09,11354.65,11356.63,63.92887,726145.3,1582,31.371578,356340.7
2020-10-11 07:34:59.999,11356.63,11391.8,11354.08,11380.34,276.70026,3146790.0,3586,166.42134,1892628.8
2020-10-11 07:39:59.999,11380.33,11380.34,11363.72,11374.99,164.14175,1866912.6,2030,73.30052,833751.44
2020-10-11 07:44:59.999,11375.0,11375.0,11361.98,11372.23,126.09179,1433251.8,2369,56.32741,640252.9
2020-10-11 07:49:59.999,11372.23,11388.44,11372.23,11386.05,138.01038,1570406.2,1985,94.94592,1080389.2
2020-10-11 07:54:59.999,11386.34,11386.34,11371.9,11373.07,127.77293,1453713.0,1924,62.47625,710833.94
2020-10-11 07:59:59.999,11373.06,11407.27,11371.86,11397.02,288.14804,3282756.8,3567,184.3535,2100231.8
2020-10-11 08:04:59.999,11397.02,11410.0,11393.84,11394.53,310.52567,3540492.5,3939,129.81242,1480152.8
2020-10-11 08:09:59.999,11394.52,11400.53,11383.12,11392.33,164.07617,1869197.2,3529,81.944984,933580.7
2020-10-11 08:14:59.999,11392.34,11394.02,11386.97,11390.83,115.24748,1312749.4,2005,46.520447,529888.9
2020-10-11 08:19:59.999,11390.84,11395.27,11371.57,11375.95,155.1993,1766690.1,2184,60.20005,685299.06
2020-10-11 08:24:59.999,11376.05,11377.97,11371.0,11377.8,69.40873,789453.94,1427,37.233826,423480.12
2020-10-11 08:29:59.999,11377.81,11381.85,11362.54,11368.4,103.70582,1179134.8,1727,49.422,561906.44
2020-10-11 08:34:59.999,11368.48,11371.0,11364.21,11365.78,63.81871,725487.2,1019,29.181692,331725.53
2020-10-11 08:39:59.999,11365.77,11366.1,11358.38,11359.44,55.462643,630204.44,1124,24.034437,273089.38
2020-10-11 08:44:59.999,11359.45,11364.38,11350.36,11362.86,74.80726,849628.1,1493,39.92649,453478.12
2020-10-11 08:49:59.999,11362.85,11375.29,11360.73,11371.21,83.93511,954190.06,1269,57.74345,656461.2
2020-10-11 08:54:59.999,11371.22,11374.0,11362.56,11367.0,107.527824,1222458.4,1678,57.49845,653701.4
2020-10-11 08:59:59.999,11367.0,11374.44,11367.0,11372.5,60.130756,683745.4,1216,29.621058,336804.97
2020-10-11 09:04:59.999,11372.51,11382.94,11366.64,11380.01,138.78253,1578859.6,1877,80.822365,919417.5
2020-10-11 09:09:59.999,11380.0,11380.68,11374.56,11374.56,61.842785,703626.9,1146,21.13461,240464.27
2020-10-11 09:14:59.999,11374.51,11375.38,11362.94,11363.62,109.42698,1244130.5,2139,45.967113,522619.97
2020-10-11 09:19:59.999,11363.61,11368.15,11363.61,11367.16,59.163788,672462.94,1156,36.5255,415153.8
2020-10-11 09:24:59.999,11367.09,11367.9,11350.0,11355.19,161.00912,1828831.9,2707,50.907158,578217.6
2020-10-11 09:29:59.999,11355.19,11358.49,11351.62,11355.1,72.436844,822487.56,1724,21.34022,242307.03
2020-10-11 09:34:59.999,11354.94,11366.08,11352.07,11365.1,75.55266,858216.2,1622,42.964428,488066.9
2020-10-11 09:39:59.999,11365.11,11366.85,11359.35,11365.0,67.47545,766810.9,1273,31.526716,358299.84
2020-10-11 09:44:59.999,11365.0,11370.47,11365.0,11370.38,58.278206,662479.7,1371,28.273716,321399.5
2020-10-11 09:49:59.999,11370.38,11370.73,11362.03,11363.24,40.466488,459956.66,1046,19.647633,223326.17
2020-10-11 09:54:59.999,11363.24,11368.73,11362.21,11368.39,48.752865,554091.8,897,36.19955,411412.94
2020-10-11 09:59:59.999,11368.39,11368.4,11355.63,11355.74,94.62479,1075101.9,1504,42.400097,481698.34
2020-10-11 10:04:59.999,11355.73,11366.45,11336.17,11353.81,228.52936,2593591.5,3863,99.868126,1133348.9
2020-10-11 10:09:59.999,11353.82,11367.24,11347.52,11353.89,167.45311,1901885.4,2933,76.58487,869812.06
2020-10-11 10:14:59.999,11353.88,11364.86,11349.1,11363.94,99.63765,1131648.2,1908,45.45897,516357.34
2020-10-11 10:19:59.999,11363.94,11370.99,11362.91,11370.91,75.485146,857999.25,1160,46.944283,533607.75
2020-10-11 10:24:59.999,11370.91,11382.2,11370.91,11372.12,112.33445,1277738.1,1438,79.13157,900082.44
2020-10-11 10:29:59.999,11372.12,11380.0,11372.11,11379.99,53.08592,603894.8,779,31.430351,357543.5
2020-10-11 10:34:59.999,11379.99,11380.05,11370.45,11373.74,93.70842,1065849.8,1820,49.7141,565490.75
2020-10-11 10:39:59.999,11373.74,11373.74,11368.68,11371.46,55.296276,628781.2,1266,12.59634,143229.83
2020-10-11 10:44:59.999,11371.45,11372.49,11358.2,11363.73,94.52285,1074106.1,1746,32.6753,371292.5
2020-10-11 10:49:59.999,11363.8,11377.65,11363.79,11366.5,154.47441,1756174.1,2415,76.651344,871387.75
2020-10-11 10:54:59.999,11366.5,11373.84,11363.94,11366.96,83.9465,954303.44,1662,44.041313,500651.2
2020-10-11 10:59:59.999,11366.96,11371.09,11363.84,11368.42,49.169857,558924.9,1258,29.778725,338504.1
2020-10-11 11:04:59.999,11368.41,11395.23,11365.28,11390.31,139.50906,1588007.9,2233,101.19014,1151799.5
2020-10-11 11:09:59.999,11390.01,11394.14,11383.0,11386.38,83.21068,947516.9,1538,38.765232,441443.5
2020-10-11 11:14:59.999,11386.38,11391.38,11384.06,11388.4,58.800797,669592.4,1404,40.03267,455870.97
2020-10-11 11:19:59.999,11388.41,11388.97,11383.0,11388.16,58.331863,664186.5,1242,18.461353,210209.73
2020-10-11 11:24:59.999,11388.17,11388.25,11380.8,11383.51,64.50367,734323.56,1553,28.410707,323435.44
2020-10-11 11:29:59.999,11383.51,11395.0,11382.96,11385.88,91.74798,1044851.06,1747,61.044613,695193.0
2020-10-11 11:34:59.999,11385.89,11385.89,11370.72,11384.81,74.10688,843223.2,1542,37.877777,431002.75
2020-10-11 11:39:59.999,11384.82,11398.88,11383.5,11395.0,136.37575,1553711.0,1901,65.52398,746538.0
2020-10-11 11:44:59.999,11395.0,11445.0,11377.32,11380.33,540.30505,6164800.5,7499,301.55313,3440967.5
2020-10-11 11:49:59.999,11380.34,11387.67,11345.0,11361.16,299.18076,3399585.8,4888,114.21245,1298032.6
2020-10-11 11:54:59.999,11361.17,11387.52,11360.09,11383.03,158.69934,1805491.4,3031,91.2169,1037594.3
2020-10-11 11:59:59.999,11383.03,11386.37,11375.89,11378.72,72.824524,828732.8,1474,25.504128,290232.16
2020-10-11 12:04:59.999,11378.72,11390.26,11378.72,11389.18,94.02879,1070425.1,1653,48.67094,554084.44
2020-10-11 12:09:59.999,11389.18,11428.75,11389.02,11406.54,294.74802,3363471.2,4813,168.37796,1921351.5
2020-10-11 12:14:59.999,11406.55,11430.0,11405.82,11420.66,250.11617,2855521.2,2976,139.50435,1592740.8
2020-10-11 12:19:59.999,11420.66,11440.86,11412.39,11414.03,183.77412,2099662.2,3493,115.10111,1315254.5
2020-10-11 12:24:59.999,11414.03,11434.59,11414.03,11419.4,99.7076,1138850.9,2258,51.738632,590955.06
2020-10-11 12:29:59.999,11419.4,11434.33,11417.05,11432.62,99.72644,1139508.8,2226,58.680508,670531.4
2020-10-11 12:34:59.999,11432.61,11432.61,11412.45,11418.73,152.52498,1741701.1,2784,67.388054,769539.4
2020-10-11 12:39:59.999,11418.72,11419.93,11403.75,11414.49,109.03239,1244189.6,2000,49.570038,565615.25
2020-10-11 12:44:59.999,11414.02,11417.85,11406.72,11406.72,103.24176,1178270.1,2055,65.0271,742184.94
2020-10-11 12:49:59.999,11407.24,11412.92,11396.74,11400.73,174.5889,1990617.8,2112,59.84213,682339.1
2020-10-11 12:54:59.999,11400.61,11411.0,11395.12,11410.34,82.42034,939802.1,1750,49.60525,565630.0
2020-10-11 12:59:59.999,11410.34,11412.72,11402.72,11405.47,84.21481,960743.6,1614,44.589874,508725.53
2020-10-11 13:04:59.999,11405.46,11412.49,11386.67,11389.59,246.73955,2812284.8,4007,99.53487,1134599.4
2020-10-11 13:09:59.999,11389.6,11394.08,11379.48,11379.49,138.89957,1581779.8,2428,39.295353,447517.38
2020-10-11 13:14:59.999,11379.49,11395.0,11362.0,11395.0,204.93073,2332418.5,3314,118.949745,1354129.1
2020-10-11 13:19:59.999,11395.07,11426.98,11386.58,11415.38,139.0936,1586518.5,2911,75.169334,857384.4
2020-10-11 13:24:59.999,11415.38,11419.87,11406.25,11408.53,269.58102,3076680.2,2953,102.4974,1169665.9
2020-10-11 13:29:59.999,11408.53,11410.92,11399.91,11408.11,102.855156,1173177.0,2148,43.42988,495419.7
2020-10-11 13:34:59.999,11408.11,11416.09,11399.91,11409.4,132.11795,1507214.1,2470,77.39122,882934.6
2020-10-11 13:39:59.999,11409.4,11416.06,11402.83,11413.52,110.0025,1255088.0,1936,55.48013,633039.7
2020-10-11 13:44:59.999,11413.52,11417.37,11408.23,11410.71,70.42367,803620.7,1641,26.881275,306769.8
2020-10-11 13:49:59.999,11410.71,11420.0,11409.59,11416.99,120.41957,1374557.4,1940,55.36095,631980.75
2020-10-11 13:54:59.999,11416.99,11419.67,11413.53,11413.98,59.955784,684409.44,1508,36.061977,411648.94
2020-10-11 13:59:59.999,11413.98,11414.0,11390.0,11391.78,121.33073,1383464.6,2721,52.03577,593324.56
2020-10-11 14:04:59.999,11391.78,11406.71,11391.78,11404.01,155.40886,1771509.2,2275,79.89411,910723.5
2020-10-11 14:09:59.999,11404.02,11409.17,11403.32,11406.97,87.64438,999761.56,1703,48.276028,550676.1
2020-10-11 14:14:59.999,11406.97,11411.18,11403.04,11403.75,85.975555,980873.5,1580,45.4388,518416.0
2020-10-11 14:19:59.999,11403.74,11413.72,11403.02,11411.99,74.36815,848566.3,1337,41.210766,470219.2
2020-10-11 14:24:59.999,11412.0,11416.09,11410.0,11414.95,52.306904,597023.1,1071,30.634396,349665.88
2020-10-11 14:29:59.999,11414.96,11414.99,11401.0,11404.92,85.65297,976966.8,1644,36.889023,420738.2
2020-10-11 14:34:59.999,11404.93,11419.51,11402.92,11417.86,59.211033,675772.7,1430,33.083244,377578.94
2020-10-11 14:39:59.999,11417.85,11430.0,11414.98,11418.76,97.72416,1116067.9,1777,66.77169,762599.2
2020-10-11 14:44:59.999,11418.76,11423.71,11411.92,11412.41,41.38404,472545.3,1242,20.985355,239642.03
2020-10-11 14:49:59.999,11412.32,11417.59,11406.33,11412.18,59.374367,677476.25,1332,26.945795,307469.5
2020-10-11 14:54:59.999,11412.17,11417.77,11407.76,11414.29,39.228558,447763.9,1023,21.548132,245955.0
2020-10-11 14:59:59.999,11413.91,11424.27,11412.92,11424.27,37.994347,433782.66,1324,22.069414,251966.66
2020-10-11 15:04:59.999,11424.26,11427.99,11422.4,11425.85,67.95337,776370.5,1257,41.958424,479379.94
2020-10-11 15:09:59.999,11425.85,11426.0,11420.33,11421.11,42.361813,483907.44,883,20.778654,237351.83
2020-10-11 15:14:59.999,11421.11,11421.51,11406.0,11407.01,77.51921,884772.8,1669,34.96295,399087.7
2020-10-11 15:19:59.999,11407.01,11412.19,11395.99,11411.94,133.95699,1527507.6,2755,38.206516,435654.94
